address,trash_day
"1662 8th Ave, Brooklyn, NY, USA",SAT
"1663 8th Ave, Brooklyn, NY, USA",WED
"1663 8th Ave, Brooklyn, NY, USA",SAT
"1666 8th Ave, Brooklyn, NY, USA",WED
"1666 8th Ave, Brooklyn, NY, USA",SAT
"1667 10th Ave, Brooklyn, NY, USA",MON
"1667 10th Ave, Brooklyn, NY, USA",THU
"167 14th St, Brooklyn, NY, USA",MON
"167 14th St, Brooklyn, NY, USA",THU
"167 15th St, Brooklyn, NY, USA",MON
"167 15th St, Brooklyn, NY, USA",THU
"167 17th St, Brooklyn, NY, USA",MON
"167 17th St, Brooklyn, NY, USA",THU
"1671 8th Ave, Brooklyn, NY, USA",WED
"1671 8th Ave, Brooklyn, NY, USA",SAT
"1677 8th Ave, Brooklyn, NY, USA",WED
"1677 8th Ave, Brooklyn, NY, USA",SAT
"168 3rd St, Brooklyn, NY, USA",TUE
"168 3rd St, Brooklyn, NY, USA",THU
"168 3rd St, Brooklyn, NY, USA",SAT
"168 7th Ave, Brooklyn, NY, USA",WED
"168 7th Ave, Brooklyn, NY, USA",SAT
"168 7th St, Brooklyn, NY, USA",MON
"168 7th St, Brooklyn, NY, USA",THU
"1683 8th Ave, Brooklyn, NY, USA",WED
"1683 8th Ave, Brooklyn, NY, USA",SAT
"169 14th St, Brooklyn, NY, USA",MON
"169 14th St, Brooklyn, NY, USA",THU
"169 15th St, Brooklyn, NY, USA",MON
"169 15th St, Brooklyn, NY, USA",THU
"169 16th St, Brooklyn, NY, USA",MON
"169 16th St, Brooklyn, NY, USA",THU
"169 7th Ave, Brooklyn, NY, USA",WED
"169 7th Ave, Brooklyn, NY, USA",SAT
"169 8th Ave, Brooklyn, NY, USA",WED
"169 8th Ave, Brooklyn, NY, USA",SAT
"169 9th St, Brooklyn, NY, USA",MON
"169 9th St, Brooklyn, NY, USA",THU
"1700 10th Ave, Brooklyn, NY, USA",MON
"1700 10th Ave, Brooklyn, NY, USA",THU
"1701 10th Ave, Brooklyn, NY, USA",MON
"1701 10th Ave, Brooklyn, NY, USA",THU
"1701 8th Ave, Brooklyn, NY, USA",WED
"1701 8th Ave, Brooklyn, NY, USA",SAT
"171 12th St, Brooklyn, NY, USA",MON
"171 12th St, Brooklyn, NY, USA",THU
"171 15th St, Brooklyn, NY, USA",MON
"171 15th St, Brooklyn, NY, USA",THU
"1712 8th Ave, Brooklyn, NY, USA",WED
"1712 8th Ave, Brooklyn, NY, USA",SAT
"1713 8th Ave, Brooklyn, NY, USA",WED
"1713 8th Ave, Brooklyn, NY, USA",SAT
"1715 8th Ave, Brooklyn, NY, USA",WED
"1715 8th Ave, Brooklyn, NY, USA",SAT
"1718 8th Ave, Brooklyn, NY, USA",WED
"1718 8th Ave, Brooklyn, NY, USA",SAT
"172 14th St, Brooklyn, NY, USA",MON
"172 14th St, Brooklyn, NY, USA",THU
"172 8th Ave, Brooklyn, NY, USA",WED
"172 8th Ave, Brooklyn, NY, USA",SAT
"1721 10th Ave, Brooklyn, NY, USA",MON
"1721 10th Ave, Brooklyn, NY, USA",THU
"1724 8th Ave, Brooklyn, NY, USA",WED
"1724 8th Ave, Brooklyn, NY, USA",SAT
"173 15th St, Brooklyn, NY, USA",MON
"173 15th St, Brooklyn, NY, USA",THU
"173 7th Ave, Brooklyn, NY, USA",WED
"173 7th Ave, Brooklyn, NY, USA",SAT
"174 15th St, Brooklyn, NY, USA",MON
"174 15th St, Brooklyn, NY, USA",THU
"174A 8th St, Brooklyn, NY, USA",MON
"174A 8th St, Brooklyn, NY, USA",THU
"175 12th St, Brooklyn, NY, USA",MON
"175 12th St, Brooklyn, NY, USA",THU
"175 15th St, Brooklyn, NY, USA",MON
"175 15th St, Brooklyn, NY, USA",THU
"175 7th Ave, Brooklyn, NY, USA",WED
"175 7th Ave, Brooklyn, NY, USA",SAT
"175 9th St, Brooklyn, NY, USA",MON
"175 9th St, Brooklyn, NY, USA",THU
"176 14th St, Brooklyn, NY, USA",MON
"176 14th St, Brooklyn, NY, USA",THU
"176 17th St, Brooklyn, NY, USA",MON
"176 17th St, Brooklyn, NY, USA",THU
"176 18th St, Brooklyn, NY, USA",MON
"176 18th St, Brooklyn, NY, USA",THU
"177 16th St, Brooklyn, NY, USA",MON
"177 16th St, Brooklyn, NY, USA",THU
"177 7th Ave, Brooklyn, NY, USA",WED
"177 7th Ave, Brooklyn, NY, USA",SAT
"177 8th St, Brooklyn, NY, USA",MON
"177 8th St, Brooklyn, NY, USA",THU
"178A 13th St, Brooklyn, NY, USA",MON
"178A 13th St, Brooklyn, NY, USA",THU
"179 7th Ave, Brooklyn, NY, USA",WED
"179 7th Ave, Brooklyn, NY, USA",SAT
"179 8th St, Brooklyn, NY, USA",MON
"179 8th St, Brooklyn, NY, USA",THU
"179A 8th St, Brooklyn, NY, USA",MON
"179A 8th St, Brooklyn, NY, USA",THU
"180 12th St, Brooklyn, NY, USA",MON
"180 12th St, Brooklyn, NY, USA",THU
"180 6th St, Brooklyn, NY, USA",MON
"180 6th St, Brooklyn, NY, USA",THU
"180 7th Ave, Brooklyn, NY, USA",WED
"180 7th Ave, Brooklyn, NY, USA",SAT
"181 12th St, Brooklyn, NY, USA",MON
"181 12th St, Brooklyn, NY, USA",THU
"181 14th St, Brooklyn, NY, USA",MON
"181 14th St, Brooklyn, NY, USA",THU
"181 2nd Ave, Brooklyn, NY, USA",MON
"181 2nd Ave, Brooklyn, NY, USA",THU
"181 7th Ave, Brooklyn, NY, USA",WED
"181 7th Ave, Brooklyn, NY, USA",SAT
